netbeans-javadoc\src\search\SearchThreadJdk12_japan.java	149	262	netbeans-javadoc\src\search\SearchThreadJdk12.java	147	249	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\search\IndexSearch.java	140	142	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\search\IndexSearch.java	214	216	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\search\IndexSearch.java	225	227	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\search\IndexSearch.java	235	237	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\search\IndexSearch.java	247	249	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\search\IndexSearch.java	256	258	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\search\IndexSearch.java	265	267	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\search\IndexSearch.java	272	274	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\search\IndexSearch.java	281	283	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\DestinationPanel.java	89	91	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\ThrowsTagPanel.java	118	120	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\SerialFieldTagPanel.java	72	74	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\SerialFieldTagPanel.java	76	78	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\SerialFieldTagPanel.java	95	97	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\SerialFieldTagPanel.java	99	101	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\SeeTagPanel.java	69	71	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\SeeTagPanel.java	90	92	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\ParamTagPanel.java	82	84	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\NewTagDialog.java	154	156	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\NewTagDialog.java	199	201	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\NewTagDialog.java	233	235	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\NewTagDialog.java	242	244	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\NewTagDialog.java	255	257	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\NewTagDialog.java	262	264	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\JavaDocEditorPanel.java	238	240	2
netbeans-javadoc\src\search\IndexSearch.java	136	138	netbeans-javadoc\src\comments\JavaDocEditorPanel.java	252	254	2
