eclipse-jdtcore\src\core\CorrectionEngine.java	191	208	eclipse-jdtcore\src\core\CorrectionEngine.java	222	239	0
eclipse-jdtcore\src\core\Flags.java	27	52	eclipse-jdtcore\src\core\Flags.java	109	153	0
eclipse-jdtcore\src\core\Flags.java	27	60	eclipse-jdtcore\src\core\Flags.java	100	153	0
eclipse-jdtcore\src\core\Flags.java	27	68	eclipse-jdtcore\src\core\Flags.java	92	153	0
eclipse-jdtcore\src\core\Flags.java	27	76	eclipse-jdtcore\src\core\Flags.java	84	153	0
eclipse-jdtcore\src\core\Flags.java	27	84	eclipse-jdtcore\src\core\Flags.java	76	153	0
eclipse-jdtcore\src\core\Flags.java	27	92	eclipse-jdtcore\src\core\Flags.java	68	153	0
eclipse-jdtcore\src\core\Flags.java	27	100	eclipse-jdtcore\src\core\Flags.java	60	153	0
eclipse-jdtcore\src\core\Flags.java	27	109	eclipse-jdtcore\src\core\Flags.java	52	153	0
eclipse-jdtcore\src\core\Flags.java	27	117	eclipse-jdtcore\src\core\Flags.java	44	153	0
eclipse-jdtcore\src\core\Flags.java	27	125	eclipse-jdtcore\src\core\Flags.java	36	153	0
eclipse-jdtcore\src\core\Flags.java	155	160	eclipse-jdtcore\src\core\Flags.java	160	165	0
eclipse-jdtcore\src\core\Flags.java	155	161	eclipse-jdtcore\src\core\Flags.java	159	165	0
eclipse-jdtcore\src\core\Flags.java	155	162	eclipse-jdtcore\src\core\Flags.java	158	165	0
eclipse-jdtcore\src\core\Flags.java	155	163	eclipse-jdtcore\src\core\Flags.java	157	165	0
eclipse-jdtcore\src\core\Flags.java	155	164	eclipse-jdtcore\src\core\Flags.java	156	165	0
eclipse-jdtcore\src\core\JavaConventions.java	97	131	eclipse-jdtcore\src\core\JavaConventions.java	131	160	0
eclipse-jdtcore\src\core\JavaConventions.java	435	440	eclipse-jdtcore\src\core\JavaConventions.java	458	461	0
eclipse-jdtcore\src\core\JavaCore.java	99	111	eclipse-jdtcore\src\core\JavaCore.java	113	122	0
eclipse-jdtcore\src\core\JavaCore.java	203	219	eclipse-jdtcore\src\core\JavaCore.java	210	233	0
eclipse-jdtcore\src\core\JavaCore.java	316	323	eclipse-jdtcore\src\core\JavaCore.java	337	344	0
eclipse-jdtcore\src\core\JavaCore.java	798	804	eclipse-jdtcore\src\core\JavaCore.java	802	807	0
eclipse-jdtcore\src\core\JavaCore.java	798	806	eclipse-jdtcore\src\core\JavaCore.java	800	807	0
